no,?⑥뼱,???깃툒,蹂??,蹂??,,,,,
988,estimate,?대┝?〓떎,以묎퀬,,,,,,
989,etc,?깅벑,以묎퀬,et cetera,,,,,
990,ethical,?꾨뜒?곸쓽,?꾨Ц,,,,,,
991,ethnic,?몄쥌???꾨Ц,,,,,,,
992,evacuate,鍮꾩슦???꾨Ц,,,,,,,
993,evaluate,?됯??섎떎,以묎퀬,,,,,,
994,eve,"??? 諛?,以묎퀬,,
995,even,-議곗감,以묎퀬,,
996,evening,???珥덈벑,,
997,eventually,寃곌뎅,以묎퀬,,
998,ever,?댁쟾??以묎퀬,,
999,every,紐⑤뱺,珥덈벑,,
1000,evident,紐낅갚??以묎퀬,,
1001,evil,?ъ븙??以묎퀬,,
1002,evolution,吏꾪솕,以묎퀬,,
1003,evolve,吏꾪솕?섎떎,以묎퀬,,
1004,exact,?뺥솗??以묎퀬,,
1005,exaggerate,怨쇱옣?섎떎,以묎퀬,,
1006,exam,?쒗뿕,珥덈벑,examination,
1007,examine,?쒗뿕?섎떎,以묎퀬,,
1008,example,蹂닿린,珥덈벑,,
1009,exceed,?섎떎,以묎퀬,,
1010,excellent,?곗닔??以묎퀬,,
1011,except,-???쒖쇅?섍퀬???쒖쇅?섎떎,以묎퀬,,
1012,excess,珥덇낵,以묎퀬,,
1013,exchange,援먰솚?섎떎,以묎퀬,,
1014,excite,?λ텇?쒗궎??以묎퀬,,
1015,exclude,諛곗쿃?섎떎,以묎퀬,,
1016,exclusive,諛고??곸씤,?꾨Ц,,
1017,excuse,蹂紐?以묎퀬,,
1018,executive,吏묓뻾???꾨Ц,,
1019,exercise,?대룞,珥덈벑,,
1020,exhaust,???⑤쾭由щ떎,以묎퀬,,
1021,exhibit,蹂댁씠??以묎퀬,,
1022,exist,議댁옱?섎떎,以묎퀬,,
1023,exit,異쒓뎄,珥덈벑,,
1024,exotic,?멸뎅??以묎퀬,,
1025,expand,?대떎,以묎퀬,,
1026,expect,湲곕??섎떎,以묎퀬,,
1027,expense,吏異?以묎퀬,,
1028,expensive,鍮꾩슜???쒕뒗,以묎퀬,,
1029,experience,寃쏀뿕,以묎퀬,,
1030,experiment,?ㅽ뿕,以묎퀬,,
1031,expert,?숇젴媛,以묎퀬,,
1032,expertise,?媛???섍껄,?꾨Ц,,
1033,explain,?ㅻ챸?섎떎,以묎퀬,,
1034,explicit,紐낅갚???꾨Ц,,
1035,explode,??컻?쒗궎??以묎퀬,,
1036,explore,?먰뿕?섎떎,以묎퀬,,
1037,export,?섏텧?섎떎 ?섏텧,以묎퀬,,
1038,expose,?щ떎", ?쒕윭?대떎, 留욏엳??,以묎퀬,,,,
1039,express,諛쒗몴?섎떎,以묎퀬,,,,,,
1040,extend,六쀫떎,以묎퀬,,,,,,
1041,extent,?볦씠,以묎퀬,,,,,,
1042,external,?몃???以묎퀬,,,,,,,
1043,extinct,爰쇱쭊,以묎퀬,,,,,,
1044,extra,媛?몄쓽,以묎퀬,,,,,,
1045,extract,戮묒븘?대떎,?꾨Ц,,,,,,
1046,extraordinary,?댁긽???꾨Ц,,,,,,,
1047,extreme,洹밸떒??以묎퀬,,,,,,,
1048,eye,??珥덈벑,,,,,,,
1049,eyebrow,?덉뜾,以묎퀬,,,,,,
1050,fabric,泥?以묎퀬,,,,,,,
1051,face,?쇨뎬,珥덈벑,,,,,,
1052,facilitate,?쎄쾶?섎떎,?꾨Ц,,,,,,
1053,facility,?ъ?,以묎퀬,,,,,,
1054,fact,?ъ떎,珥덈벑,,,,,,
1055,factor,?붿냼,以묎퀬,,,,,,
1056,factory,怨듭옣,珥덈벑,,,,,,
1057,faculty,?λ젰,?꾨Ц,,,,,,
1058,fade,諛붾옒??以묎퀬,,,,,,,
1059,fail,?ㅽ뙣?섎떎,珥덈벑,,,,,,
1060,faint,湲곗젅?섎떎,以묎퀬,,,,,,
1061,fair,怨듯룊??以묎퀬,,,,,,,
1062,faith,?좎슜,以묎퀬,,,,,,
1063,fall,?⑥뼱吏??珥덈벑,,,,,,,
1064,FALSE,嫄곗쭞,以묎퀬,,,,,,
1065,fame,紐낆꽦,以묎퀬,,,,,,
1066,familiar,移쒗븳,以묎퀬,,,,,,
1067,family,媛議?珥덈벑,,,,,,,
1068,famous,?좊챸??珥덈벑,,,,,,,
1069,fan,(?곹솕 ?깆쓽)??珥덈벑,,,,,,,
1070,fancy,怨듭긽,以묎퀬,,,,,,
1071,fantastic,?섏긽?곸씤,珥덈벑,,,,,,
1072,far,硫由?珥덈벑,,,,,,,
1073,fare,?붽툑,以묎퀬,,,,,,
1074,farm,?띿옣,珥덈벑,,,,,,
1075,fascinate,?⑺?耳 ?섎떎,以묎퀬,,,,,,
1076,fast,鍮좊Ⅸ,珥덈벑,,,,,,
1077,fasten,?⑤떒??怨좎젙?쒗궎??以묎퀬,,,,,,,
1078,fat,?댁컧,珥덈벑,,,,,,
1079,fatal,移섎챸?곸씤,?꾨Ц,,,,,,
1080,fate,?숇챸,以묎퀬,,,,,,
1081,father,?꾨쾭吏,珥덈벑,,,,,,
1082,fault,寃곗젏,以묎퀬,,,,,,
1083,favor,?몄쓽,以묎퀬,favour,,,,,
1084,favorite,留덉쓬???쒕뒗 醫뗭븘?섎뒗 臾쇨굔,珥덈벑,favourite,,,,,
1085,fear,?먮젮?,以묎퀬,,,,,,
1086,feature,?쇨뎬???앷???以묎퀬,,,,,,,
1087,federal,?곕갑???꾨Ц,,,,,,,
1088,fee,?붽툑,以묎퀬,,,,,,
1089,feed,?뚯떇(癒뱀씠)??二쇰떎,以묎퀬,,,,,,
1090,feel,留뚯졇蹂대떎,珥덈벑,,,,,,
1091,fellow,?숇Т,以묎퀬,,,,,,
1092,female,?ъ꽦,以묎퀬,,,,,,
1093,ferry,?섎（??以묎퀬,,,,,,,
1094,fertile,鍮꾩삦???꾨Ц,,,,,,,
1095,fever,??珥덈벑,,,,,,,
1096,few,?뚯닔??以묎퀬,,,,,,,
1097,fiber,?ъ쑀,以묎퀬,fibre,,,,,
1098,field,??珥덈벑,,,,,,,
1099,fierce,?됲룷??以묎퀬,,,,,,,
1100,fight,?몄?,珥덈벑,,,,,,
1101,figure,紐⑥뒿,以묎퀬,,,,,,
1102,file,醫낆씠?쇱슦媛?珥덈벑,,,,,,,
1103,fill,媛??梨꾩슦??珥덈벑,,,,,,,
1104,filter,?ш낵湲??ш낵?섎떎,以묎퀬,,,,,,
1105,final,理쒗썑??以묎퀬,,,,,,,
1106,finance,?ъ젙,以묎퀬,,,,,,
1107,find,諛쒓껄?섎떎,珥덈벑,,,,,,
1108,fine,?뚮???珥덈벑,,,,,,,
1109,finger,?먭????먭??쎌쓣 ???珥덈벑,,,,,,,
1110,finish,?앸궡??珥덈벑,,,,,,,
1111,finite,?쒖젙?섏뼱 ?덈뒗,以묎퀬,,,,,,
1112,fire,遺?珥덈벑,,,,,,,
1113,firm,援녹?,以묎퀬,,,,,,
1114,fish,臾쇨퀬湲?珥덈벑,,,,,,,
1115,fist,二쇰㉨,以묎퀬,,,,,,
1116,fit,留욌뒗,以묎퀬,,,,,,
1117,fix,怨좎젙?쒗궎??珥덈벑,,,,,,,
1118,flag,湲?珥덈벑,,,,,,,
1119,flame,遺덇퐙,以묎퀬,,,,,,
1120,flash,踰덉찉??以묎퀬,,,,,,,
1121,flat,?명룊??以묎퀬,,,,,,,
1122,flavor,(?낇듅??留?以묎퀬,flavour,,,,,,
1123,flaw,湲?以묎퀬,,,,,,,
1124,flee,?ъ븘?섎떎,?꾨Ц,,,,,,
1125,flesh,??以묎퀬,,,,,,,
1126,flexible,援щ?由ш린 ?ъ슫,以묎퀬,,,,,,
1127,flight,?좉린,以묎퀬,,,,,,
1128,flip,?湲곕떎 ???吏곸씠???湲곌린,?꾨Ц,,,,,,
1129,float,?⑤떎,以묎퀬,,,,,,
1130,flock,臾대━,以묎퀬,,,,,,
1131,flood,?띿닔,以묎퀬,,,,,,
1132,floor,留덈；諛붾떏,珥덈벑,,,,,,
1133,flourish,踰덉갹?섎떎,以묎퀬,,,,,,
1134,flow,?먮Ⅴ??以묎퀬,,,,,,,
1135,flower,苑?珥덈벑,,,,,,,
1136,fluid,?좊룞?깆쓽,?꾨Ц,,,,,,
1137,flush,?덉뭇?먮Ⅴ???꾨Ц,,,,,,,
1138,fly,?좊떎,珥덈벑,,,,,,
1139,focus,珥덉젏,珥덈벑,,,,,,
1140,fog,?덇컻,珥덈벑,,,,,,
1141,fold,二쇰쫫,以묎퀬,,,,,,
1142,folk,?щ엺??以묎퀬,,,,,,,
1143,follow,已볥떎,以묎퀬,,,,,,
1144,fond,醫뗭븘?섎뒗,?꾨Ц,,,,,,
1145,food,?뚯떇,珥덈벑,,,,,,
1146,fool,諛붾낫,珥덈벑,,,,,,
1147,foot,諛?珥덈벑,,,,,,,
1148,football,異뺢뎄,珥덈벑,,,,,,
1149,for,??좎뿉,珥덈벑,,,,,,
1150,forbid,湲덊븯??以묎퀬,,,,,,,
1151,force,??以묎퀬,,,,,,,
1152,forecast,?덉긽,以묎퀬,,,,,,
1153,forehead,?대쭏,以묎퀬,,,,,,
1154,foreign,?멸뎅??以묎퀬,,,,,,,
1155,forest,??珥덈벑,,,,,,,
1156,forever,?곸썝??珥덈벑,,,,,,,
1157,forget,?딅떎,珥덈벑,,,,,,
1158,forgive,?⑹꽌?섎떎,以묎퀬,,,,,,
1159,form,紐⑥뼇,珥덈벑,,,,,,
1160,formal,?뺤떇?곸쓽,以묎퀬,,,,,,
1161,format,(?쒖쟻??泥댁젣,以묎퀬,,,,,,
1162,formation,?뺤꽦,以묎퀬,,,,,,
1163,former,?댁쟾??以묎퀬,,,,,,,
1164,formula,怨듭떇,?꾨Ц,,,,,,
1165,forth,?욎쑝濡?以묎퀬,,,,,,,
1166,fortunate,?댁쥕?,以묎퀬,,,,,,
1167,fortune,??以묎퀬,,,,,,,
1168,forum,怨듦컻?좊줎??以묎퀬,,,,,,,
1169,forward,?욎そ??以묎퀬,,,,,,,
1170,foster,湲곕Ⅴ???꾨Ц,,,,,,,
1171,foundation,湲곗큹,以묎퀬,,,,,,
1172,fountain,??以묎퀬,,,,,,,
1173,fox,援먰솢???щ엺,珥덈벑,,,,,,
1174,fraction,遺꾩닔,?꾨Ц,,,,,,
1175,frame,援ъ“,以묎퀬,,,,,,
1176,framework,堉덈?,以묎퀬,,,,,,
1177,frankly,?붿쭅??以묎퀬,,,,,,,
1178,free,?먯쑀濡쒖슫,珥덈벑,,,,,,
1179,freeze,?쇰떎,以묎퀬,,,,,,
1180,frequent,鍮덈쾲??以묎퀬,,,,,,,
1181,fresh,?덈줈??珥덈벑,,,,,,,
1182,friend,移쒓뎄,珥덈벑,,,,,,
1183,fright,(媛묒옄湲??꾩뒿?섎뒗)怨듯룷,以묎퀬,,,,,,
1184,frog,媛쒓뎄由?珥덈벑,,,,,,,
1185,from,"(遺꾨━,?댄깉,異쒕컻??湲곗젏)-濡?遺??,珥덈벑,,
1186,front,?뺣㈃,珥덈벑,,
1187,frost,?쒕━,?꾨Ц,,
1188,frown,?덉궡??李뚰뫖由щ떎,以묎퀬,,
1189,fruit,怨쇱씪,珥덈벑,,
1190,frustrate,(怨꾪쉷 ?깆쓣)醫뚯젅?쒗궎??以묎퀬,,
1191,fry,湲곕쫫?쇰줈 ?湲곕떎,珥덈벑,,
1192,fuel,?곕즺,以묎퀬,,
1193,fulfil,?댄뻾?섎떎,以묎퀬,,
1194,full,媛?앹갔,珥덈벑,,
1195,fun,利먭굅???앷컖,珥덈벑,,
1196,function,湲곕뒫,以묎퀬,,
1197,fund,湲곌툑,以묎퀬,,
1198,fundamental,湲곗큹(湲곗?)??以묎퀬,,
1199,funeral,?μ궗,以묎퀬,,
1200,fur,紐⑦뵾,以묎퀬,,
1201,furious,?명븯???꾪럡?곕뒗,?꾨Ц,,
1202,furnish,怨듦툒?섎떎,?꾨Ц,,
1203,furniture,媛援?以묎퀬,,
1204,furthermore,?붿슦湲?以묎퀬,,
1205,fuse,?좉?,?꾨Ц,,
1206,future,誘몃옒,珥덈벑,,
1207,gain,?삳떎,以묎퀬,,
1208,gamble,?꾨컯?섎떎 ?꾨컯 ?꾨컯?댁꽌 ?껊떎,以묎퀬,,
1209,gang,????以묎퀬,,
1210,gap,媛덈씪吏???以묎퀬,,
1211,garage,李④퀬,以묎퀬,,
1212,garden,??珥덈벑,,
1213,gasoline,媛?붾┛,?꾨Ц,petrol,
1214,gate,臾?珥덈벑,,
1215,gather,洹몃윭紐⑥쑝??以묎퀬,,
1216,gaze,吏耳쒕낫???꾨Ц,,
1217,gear,?깅땲諛뷀?以묎퀬,,
1218,gender,??以묎퀬,,
1219,gene,?좎쟾(????以묎퀬,,
1220,general,?쇰컲?곸씤,以묎퀬,,
1221,generate,?노떎,?꾨Ц,,
1222,generation,?쇰?,以묎퀬,,
1223,generous,愿묐???以묎퀬,,
1224,genius,泥쒖옱,以묎퀬,,
1225,genre,?좏삎,以묎퀬,,
1226,gentle,?⑦솕??以묎퀬,,
1227,gentleman,?좎궗,珥덈벑,,
1228,genuine,吏꾩쭨??以묎퀬,,
1229,geography,吏由?以묎퀬,,
1230,geology,吏吏덊븰,以묎퀬,,
1231,gesture,紐몄쭞,珥덈벑,,
1232,get,?삳떎,珥덈벑,,
1233,ghost,?좊졊,珥덈벑,,
1234,giant,嫄곗씤,珥덈벑,,
1235,gift,?좊Ъ,珥덈벑,,
1236,giraffe,湲곕┛,珥덈벑,,
1237,girl,?뚮?,珥덈벑,,
1238,give,二쇰떎,珥덈벑,,
1239,glad,湲곗걶,珥덈벑,,
1240,glance,?섍툔 遊?以묎퀬,,
1241,glare,踰덉찉?대뒗 鍮??꾨Ц,,
1242,glass,?좊━,珥덈벑,,
1243,glimpse,?섎걮 遊??꾨Ц,,
1244,global,怨듬え?묒쓽,以묎퀬,,
1245,glory,?곴킅,以묎퀬,,
1246,glove,?κ컩,珥덈벑,,
1247,glow,???以묎퀬,,
1248,glue,?꾧탳,珥덈벑,,
1249,go,媛??珥덈벑,,
1250,goal,寃곗듅??珥덈벑,,
1251,goat,?쇱냼,以묎퀬,,
1252,god,??珥덈벑,,
1253,gold,湲?珥덈벑,,
1254,good,醫뗭?,珥덈벑,,
1255,goodbye,?덈뀞??媛?몄슂,珥덈벑,,
1256,goods,?곹뭹,以묎퀬,,
1257,gorgeous,?명솕濡쒖슫,以묎퀬,,
1258,govern,?ㅼ뒪由щ떎,以묎퀬,,
1259,grab,遺숈옟??=snatch),以묎퀬,,
1260,grace,?珥?以묎퀬,,
1261,grade,?깃툒,以묎퀬,,
1262,gradual,?먯감?곸씤,以묎퀬,,
1263,graduate,?숈쐞瑜??섏뿬?섎떎,以묎퀬,,
1264,grain,怨〓Ъ,以묎퀬,,
1265,grand,?꾨???以묎퀬,,
1266,grandfather,?좎븘踰꾩?,珥덈벑,,
1267,grant,諛쏆븘?ㅼ씠??以묎퀬,,
1268,grape,?щ룄,珥덈벑,,
1269,graphic,洹몃젮 ?볦? ??븳,以묎퀬,,
1270,grasp,遺숈옟???꾨Ц,,
1271,grass,?諛?珥덈벑,,
1272,grateful,怨좊쭥寃??앷컖?섎뒗,以묎퀬,,
1273,grave,臾대뜡,以묎퀬,,
1274,great,而ㅻ떎?,珥덈벑,,
1275,greed,?먯슃,以묎퀬,,
1276,green,珥덈줉??珥덈벑,,
1277,greet,?몄궗?섎떎,以묎퀬,,
1278,grey,?뚯깋??珥덈벑,gray,
1279,grief,?ы븳 ?ы뵒(deep sorrow),以묎퀬,,
1280,grip,?↔린,以묎퀬,,
1281,grocery,?앺뭹?≫솕瑜?以묎퀬,,
1282,gross,珥앷퀎???꾨Ц,,
1283,ground,??珥덈벑,,
1284,group,吏묐떒,珥덈벑,,
1285,grow,?깆옣?섎떎,珥덈벑,,
1286,guarantee,蹂댁쬆?섎떎,以묎퀬,,
1287,guardian,蹂댄샇???꾨Ц,,
1288,guess,異붿륫(吏먯옉)?섎떎,珥덈벑,,
1289,guest,?먮떂,以묎퀬,,
1290,guide,?대걣??珥덈벑,,
1291,guideline,吏移?以묎퀬,,
1292,guilty,二꾩??,以묎퀬,,
1293,gulf,留??꾨Ц,,
1294,gun,珥?以묎퀬,,
1295,guy,???珥덈벑,,
1296,gymnasium,?ㅻ궡泥댁“??以묎퀬,gym,
1297,habit,?듦?,珥덈벑,,
1298,habitat,(?숇Ъ???먯뿰踰덉떇吏,?꾨Ц,,
1299,hair,??珥덈벑,,
1300,half,諛?以묎퀬,,
1301,hall,?뚭?,以묎퀬,,
1302,halt,硫덉떠?쒕떎,?꾨Ц,,
1303,hammer,留앹튂,以묎퀬,,
1304,hand,??珥덈벑,,
1305,handicap,遺덈━??議곌굔,以묎퀬,,
1306,handle,?먯옟??以묎퀬,,
1307,handsome,?쇨뎬(?먰깭)???섏깮湲?珥덈벑,,
1308,hang,嫄몃떎,珥덈벑,,
1309,happen,(?ш굔 ?깆씠)?쇱뼱?섎떎,以묎퀬,,
1310,happy,?됱슫??珥덈벑,,
1311,harbor,??뎄,以묎퀬,harbour,
1312,hard,?⑤떒??珥덈벑,,
1313,hardly,嫄곗쓽 -?꾨땲??以묎퀬,,
1314,harm,??以묎퀬,,
1315,harsh,嫄곗튇,以묎퀬,,
1316,harvest,?섑솗,以묎퀬,,
1317,haste,湲됲븿,以묎퀬,,
1318,hat,(?뚯엳??紐⑥옄 紐⑥옄瑜??뚯슦??珥덈벑,,
1319,hate,誘몄썙?섎떎,珥덈벑,,
1320,haunt,?먯＜媛???꾨Ц,,
1321,have,媛吏(怨?????珥덈벑,,
1322,hazard,?꾪뿕,以묎퀬,,
1323,he,(3?몄묶?⑥닔 ?⑥꽦)洹?珥덈벑,,
1324,head,癒몃━,珥덈벑,,
1325,headache,?먰넻,珥덈벑,,
1326,headquarters,蹂몃?,?꾨Ц,,
1327,heal,怨좎튂??以묎퀬,,
1328,health,嫄닿컯,以묎퀬,,
1329,hear,?ｋ떎,以묎퀬,,
1330,heart,?ъ옣,珥덈벑,,
1331,heat,??珥덈벑,,
1332,heaven,?섎뒛,珥덈벑,,
1333,heavy,臾닿굅??珥덈벑,,
1334,heel,諛쒕뮘轅덉튂,以묎퀬,,
1335,height,?믪씠,以묎퀬,,
1336,heir,?곸냽???꾨Ц,,
1337,helicopter,?щ━肄ν꽣,珥덈벑,,
1338,hell,吏??以묎퀬,,
1339,hello,?щ낫,珥덈벑,hey,hi
1340,help,?뺣떎,珥덈벑,,
1341,hence,洹몃윭誘濡??꾨Ц,,
1342,here,?ш린??珥덈벑,,
1343,heritage,?몄뒿 ?ъ궛,?꾨Ц,,
1344,hero,?곸썒,珥덈벑,,
1345,hesitate,二쇱??섎떎,以묎퀬,,
1346,hide,媛먯텛??以묎퀬,,
1347,high,?믪?,珥덈벑,,
1348,highway,???以묎퀬,,
1349,hill,?몃뜒"," ??? ???몃룄 怨좎?""",珥덈벑,,,,,
1350,hip,?됰뜦??以묎퀬,,,,,,,
1351,hire,怨좎슜?섎떎,以묎퀬,,,,,,
1352,history,??궗,珥덈벑,,,,,,
1353,hit,紐낆쨷?섎떎,珥덈벑,,,,,,
1354,hobby,痍⑤?,珥덈벑,,,,,,
1355,hold,?먯뿉 媛뽮퀬 ?덈떎,珥덈벑,,,,,,
1356,hole,援щ찉,以묎퀬,,,,,,
1357,holiday,?댁씪,珥덈벑,,,,,,
1358,holy,?좎꽦??以묎퀬,,,,,,,
1359,home,媛??珥덈벑,,,,,,,
1360,homework,?숈젣,珥덈벑,,,,,,
1361,honest,?뺤쭅??珥덈벑,,,,,,,
1362,honey,踰뚭?,珥덈벑,,,,,,
1363,honor,紐낆삁,以묎퀬,honour,,,,,
1364,hook,媛덇퀬由??꾨Ц,,,,,,,
1365,hope,?щ쭩,珥덈벑,,,,,,
1366,horizon,吏?됱꽑,以묎퀬,,,,,,
1367,horn,肉??꾨Ц,,,,,,,
1368,horror,怨듯룷,以묎퀬,,,,,,
1369,horse,留?珥덈벑,,,,,,,
1370,hospital,蹂묒썝,珥덈벑,,,,,,
1371,host,"二쇱씤, 吏묒＜???몃쫯, ?몄뒪??,以묎퀬,,
1372,hostage,蹂쇰え,?꾨Ц,,
1373,hostile,諛섎??섎뒗,?꾨Ц,,
1374,hot,?④굅??珥덈벑,,
1375,hour,?쒓컙,珥덈벑,,
1376,house,吏?珥덈벑,,
1377,household,媛議?以묎퀬,,
1378,how,?대뼸寃?珥덈벑,,
1379,however,?꾨Т由?珥덈벑,,
1380,hug,瑗?猿댁븞??以묎퀬,,
1381,huge,嫄곕???以묎퀬,,
1382,human,?멸컙??珥덈벑,,
1383,humor,?좎슦癒?珥덈벑,humour,
1384,hundred,100 100??珥덈벑,,
1385,hungry,諛곌퀬??珥덈벑,,
1386,hunt,?щ깷?섎떎,珥덈벑,,
1387,hurry,?쒕몢瑜대떎,珥덈벑,,
1388,hurt,?곸쿂?대떎,以묎퀬,,
1389,husband,?⑦렪 ?덉빟?섎떎,珥덈벑,,
1390,hut,?ㅻ몢留?以묎퀬,,
1391,hypothesis,媛???꾨Ц,,
1392,I,?섎뒗"," ?닿?""",珥덈벑,,,,,
1393,ice,?쇱쓬,珥덈벑,,,,,,
1394,idea,愿??珥덈벑,,,,,,,
1395,ideal,?댁긽,以묎퀬,,,,,,
1396,identical,?꾩＜ ?숈씪??以묎퀬,,,,,,,
1397,identify,?숈씪?쒗븯??以묎퀬,,,,,,,
1398,ideology,怨듬━,?꾨Ц,,,,,,
1399,if,留뚯씪 -?대씪硫?珥덈벑,,,,,,,
1400,ignore,臾댁떆?섎떎,以묎퀬,,,,,,
1401,ill,蹂묐뱺,以묎퀬,,,,,,
1402,illusion,?섏쁺,?꾨Ц,,,,,,
1403,illustrate,?ㅻ챸?섎떎,以묎퀬,,,,,,
1404,imagine,?곸긽?섎떎,以묎퀬,,,,,,
1405,imitate,?됰궡?대떎,以묎퀬,,,,,,
1406,immediate,吏곸젒??以묎퀬,,,,,,,
1407,immense,臾댄븳???꾨Ц,,,,,,,
1408,immigrate,?댁＜?섎떎,?꾨Ц,,,,,,
1409,immune,硫댁뿭?깆쓽,以묎퀬,,,,,,
1410,impact,異⑷꺽,以묎퀬,,,,,,
1411,imperial,?쒓뎅??以묎퀬,,,,,,,
1412,implement,湲곌뎄,?꾨Ц,,,,,,
1413,imply,?⑥텞?섎떎,?꾨Ц,,,,,,
1414,import,?섏엯?섎떎,以묎퀬,,,,,,
1415,important,以묒슂??珥덈벑,,,,,,,
1416,impose,遺怨쇳븯???꾨Ц,,,,,,,
1417,impress,?몄긽吏?곕떎,以묎퀬,,,,,,
1418,improve,媛쒖꽑?섎떎,以묎퀬,,,,,,
1419,in,-?띿뿉,珥덈벑,,,,,,
1420,incentive,?먭레?곸씤,以묎퀬,,,,,,
1421,incident,?ш굔,以묎퀬,,,,,,
1422,incline,湲곗슱?대떎,?꾨Ц,,,,,,
1423,include,?ы븿?섎떎,以묎퀬,,,,,,
1424,income,?섏엯,以묎퀬,,,,,,
1425,incorporate,?⑸룞?쒗궎???꾨Ц,,,,,,,
1426,increase,?섎떎,以묎퀬,,,,,,
1427,incredible,誘우쓣 ???녿뒗,以묎퀬,,,,,,
1428,indeed,李몄쑝濡?以묎퀬,,,,,,,
1429,independent,?낅┰??以묎퀬,,,,,,,
1430,index,?됱씤,?꾨Ц,,,,,,
1431,indicate,吏?곹븯??以묎퀬,,,,,,,
1432,individual,媛쒖씤,以묎퀬,,,,,,
1433,induce,袁???꾨Ц,,,,,,,
1434,industry,怨듭뾽,以묎퀬,,,,,,
1435,inevitable,?쇳븷 ???녿뒗,?꾨Ц,,,,,,
1436,infant,?좎븘,以묎퀬,,,,,,
1437,infect,媛먯뿼?쒗궎???꾨Ц,,,,,,,
1438,infer,異붾줎?섎떎,?꾨Ц,,,,,,
1439,inflate,遺?寃??섎떎,?꾨Ц,,,,,,
1440,influence,?곹뼢??以묎퀬,,,,,,,
1441,inform,?뚮━??以묎퀬,,,,,,,
1442,informal,鍮꾧났?앹쓽,以묎퀬,,,,,,
1443,ingredient,?깅텇,以묎퀬,,,,,,
1444,inhabit,?대떎,以묎퀬,,,,,,
1445,inherent,?앺깭???꾨Ц,,,,,,,
1446,inhibit,湲덊븯???꾨Ц,,,,,,,
1447,initial,泥섏쓬??以묎퀬,,,,,,,
1448,initiate,?쒖옉?섎떎,以묎퀬,,,,,,
1449,inject,二쇱궗?섎떎,以묎퀬,,,,,,
1450,injure,?댁튂??以묎퀬,,,,,,,
1451,inn,?ъ씤??以묎퀬,,,,,,,
1452,innocent,臾닿뎄??以묎퀬,,,,,,,
1453,innovate,?덈∼寃??섎떎,以묎퀬,,,,,,
1454,input,?ъ엯,以묎퀬,,,,,,
1455,inquire,臾삳떎,?꾨Ц,enquire,,,,,
1456,insect,怨ㅼ땐,以묎퀬,,,,,,
1457,insert,?쇱썙?ｋ떎,以묎퀬,,,,,,
1458,inside,?덉そ,珥덈벑,,,,,,
1459,insight,?듭같(??,以묎퀬,,,,,,
1460,insist,二쇱옣?섎떎,以묎퀬,,,,,,
1461,inspect,寃?ы븯??以묎퀬,,,,,,,
1462,inspire,?곴컧??二쇰떎,以묎퀬,,,,,,
1463,install,?ㅼ튂?섎떎,以묎퀬,,,,,,
1464,instance,?ㅻ?,以묎퀬,,,,,,
1465,instant,利됱떆??以묎퀬,,,,,,,
1466,instead,洹???좎뿉,以묎퀬,,,,,,
1467,instinct,蹂몃뒫,以묎퀬,,,,,,
1468,institute,留뚮뱾??以묎퀬,,,,,,,
1469,instruct,媛瑜댁튂??以묎퀬,,,,,,,
1470,instrument,湲곌뎄,以묎퀬,,,,,,
1471,insult,紐⑥슃?섎떎,以묎퀬,,,,,,
1472,insure,蹂댁쬆?섎떎,以묎퀬,,,,,,
1473,integrate,?듯빀?섎떎,?꾨Ц,,,,,,
1474,intellectual,吏?곸씤,以묎퀬,,,,,,
1475,intelligent,吏?곸씤,以묎퀬,,,,,,
1476,intend,-???묒젙?대떎,以묎퀬,,,,,,
1477,intense,媛뺣젹??以묎퀬,,,,,,,
1478,intent,?섑뼢,以묎퀬,,,,,,
1479,interact,?쒕줈 ?묒슜?섎떎,以묎퀬,,,,,,
1480,interest,?λ?,以묎퀬,,,,,,
1481,interfere,媛꾩꽠?섎떎,以묎퀬,,,,,,
1482,intermediate,以묎컙??以묎컙臾?以묎퀬,,,,,,,
1483,internal,?대???以묎퀬,,,,,,,
1484,international,援?젣?곸씤,以묎퀬,,,,,,
1485,interpret,?댁꽍?섎떎,以묎퀬,,,,,,
1486,interrupt,?쇰갑?볥떎,以묎퀬,,,,,,
1487,interval,媛꾧꺽,以묎퀬,,,,,,
1488,intervene,?ъ씠???ㅻ떎,?꾨Ц,,,,,,
1489,intimate,移쒕???以묎퀬,,,,,,,
1490,into,-?덉쑝濡?珥덈벑,,,,,,,
1491,intrigue,?뚮え,?꾨Ц,,,,,,
1492,introduce,?덉쑝濡??ㅼ씠??珥덈벑,,,,,,,
1493,invade,移⑥엯?섎떎,以묎퀬,,,,,,
1494,invent,諛쒕챸?섎떎,以묎퀬,,,,,,
1495,invest,?ъ옄?섎떎,以묎퀬,,,,,,
1496,investigate,議곗궗?섎떎,以묎퀬,,,,,,
1497,invite,珥덈??섎떎,珥덈벑,,,,,,
1498,involve,留먯븘?ｋ떎,以묎퀬,,,,,,
1499,iron,??以묎퀬,,,,,,,
1500,irony,諛섏뼱,以묎퀬,,,,,,
1501,irritate,?명븯寃??섎떎,以묎퀬,,,,,,
1502,island,??以묎퀬,,,,,,,
1503,isolate,怨좊┰?쒗궎??以묎퀬,,,,,,,
1504,it,洹멸쾬?,珥덈벑,,,,,,
1505,item,議고빆,以묎퀬,,,,,,
1506,jail,援먮룄??以묎퀬,,,,,,,
